QUESTION;NLU OUTPUT;BEST FRAME;CERTAINTY SCORE;TEXTUAL RESPONSE;VISUAL RESPONSE
Which transitions start from q0;{'user_input': 'Which transitions start from q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
How many transitions start from q0;{'user_input': 'How many transitions start from q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Which transitions end in q0;{'user_input': 'Which transitions end in q0', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
Is there a pattern among the arcs;{'user_input': 'Is there a pattern among the arcs', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternExistence': '?'}};{};0.0;Could you be more specific?;[]
What could be a minimal spatial representation for this automaton;{'user_input': 'What could be a minimal spatial representation for this automaton', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'patternType': '?'}};{};0.0;Could you be more specific?;[]
is there an arc between q0 and q1;{'user_input': 'is there an arc between q0 and q1', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'transitions': [['q0', 'q1', '?']]}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:propositionalQuestion'], 'correctedFrame': {'transitions': [['q0', 'q1', '?']]}};1.0;The transition between q0 and q1 is with value 1.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}]
which are the transitions;{'user_input': 'which are the transitions', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
what is the phd for;{'user_input': 'what is the phd for', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
maximum number of states in an automaton;{'user_input': 'maximum number of states in an automaton', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
How many states does a pentagon shaped automaton have;{'user_input': 'How many states does a pentagon shaped automaton have', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
Briefly describe the automaton How many states are there;{'user_input': 'Briefly describe the automaton How many states are there', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
How many states are in Automation 2;{'user_input': 'How many states are in Automation 2', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
According to your understanding of Automaton 2 what is its optimal spatial representation;{'user_input': 'According to your understanding of Automaton 2 what is its optimal spatial representation', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:request', 'frame': {'optimalSpatialRepresentation': '?'}};{};0.0;Could you be more specific?;[]
describe me the automaton;{'user_input': 'describe me the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
wat is the language recognised by the automaton;{'user_input': 'wat is the language recognised by the automaton', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
briefly describe the automation;{'user_input': 'briefly describe the automation', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonType': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
how many transitions;{'user_input': 'how many transitions', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
What is the best way to represent this automa;{'user_input': 'What is the best way to represent this automa', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What is the initial state;{'user_input': 'What is the initial state', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'initialState': '?'}};1.0;The initial state is q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
What about transitions;{'user_input': 'What about transitions', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
what language accepts this automata;{'user_input': 'what language accepts this automata', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
what is an automaton;{'user_input': 'what is an automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
what is the initial stage of the automaton;{'user_input': 'what is the initial stage of the automaton', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'initialState': '?'}};1.0;The initial state is q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
Briefly describe me the automaton;{'user_input': 'Briefly describe me the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
what is the initial state of the automaton;{'user_input': 'what is the initial state of the automaton', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'initialState': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'initialState': '?'}};1.0;The initial state is q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}]
what is the language accepted by the automaton;{'user_input': 'what is the language accepted by the automaton', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
is the string 110 accepted by the automaton;{'user_input': 'is the string 110 accepted by the automaton', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'input': '110'}};{};0.0;Could you be more specific?;[]
describe the transition table of the automaton;{'user_input': 'describe the transition table of the automaton', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
how many states there are;{'user_input': 'how many states there are', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
what symbols does the automaton accept;{'user_input': 'what symbols does the automaton accept', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};{};0.0;Could you be more specific?;[]
what are the symbols accepted by the automaton;{'user_input': 'what are the symbols accepted by the automaton', 'intent': 'fsa-practical', 'argument': 'alphabet', 'dialogue_act': 'Ta:request', 'frame': {'alphabet': '?'}};{};0.0;Could you be more specific?;[]
Describe automa;{'user_input': 'Describe automa', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
How many regions are there in Italy;{'user_input': 'How many regions are there in Italy', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfRegions': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 states: q0, q1, q2, q3 and q4.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
In which year we are;{'user_input': 'In which year we are', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {'year': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
how many states has the automata;{'user_input': 'how many states has the automata', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'numberOfStates': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {'numberOfStates': '?'}};1.0;This automaton has 5 states;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
how many arcs are there in the automata;{'user_input': 'how many arcs are there in the automata', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'numberOfTransitions': '?'}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
is there a particular pattern among automata arcs;{'user_input': 'is there a particular pattern among automata arcs', 'intent': 'fsa-practical', 'argument': 'pattern', 'dialogue_act': 'Ta:propositionalQuestion', 'frame': {'patternType': '?'}};{};0.0;Could you be more specific?;[]
which is the transition function;{'user_input': 'which is the transition function', 'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_act': 'Ta:request', 'frame': {'transitions': []}};{'intent': 'fsa-practical', 'argument': 'transition', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 transitions: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3-q4'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4-q0'}]
how much does the representation takes;{'user_input': 'how much does the representation takes', 'intent': 'fsa-practical', 'argument': 'state', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{'intent': 'fsa-practical', 'argument': 'state', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton has 5 states: q0, q1, q2, q3 and q4.;[{'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q0'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q1'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q2'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q3'}, {'style_name': 'stroke', 'style_value': '#04ed00', 'symbol': 'simbolo-q4'}]
what is the regular expression describing the automata;{'user_input': 'what is the regular expression describing the automata', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
can you briefly describe the automata;{'user_input': 'can you briefly describe the automata', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Summarise the automaton;{'user_input': 'Summarise the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'input': 'summarize'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What language does the automaton accept;{'user_input': 'What language does the automaton accept', 'intent': 'fsa-practical', 'argument': 'language', 'dialogue_act': 'Ta:request', 'frame': {'input': '?'}};{};0.0;Could you be more specific?;[]
where is automaton 2;{'user_input': 'where is automaton 2', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'automatonId': '2'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Which are the principal pros;{'user_input': 'Which are the principal pros', 'intent': 'fsa-practical', 'argument': None, 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
What are automaton;{'user_input': 'What are automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Describe automaton;{'user_input': 'Describe automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};1.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
Show me the automaton;{'user_input': 'Show me the automaton', 'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_act': 'Ta:request', 'frame': {'graphic': '?'}};{'intent': 'fsa-practical', 'argument': 'automaton', 'dialogue_acts_list': ['Ta:request'], 'correctedFrame': {}};0.0;The automaton accepts zero or more words formed by a sequence of the type 11000. In total there are 5 states: q0, q1, q2, q3 e q4. q0 is both the initial and the final state. The transitions are: q0 with value 1 goes to q1, q1 with value 1 goes to q2, q2 with value 0 goes to q3, q3 with value 0 goes to q4, q4 with value 0 goes to q0.;[]
